Id,Start,Name,Impact,Currency
ddf0ee5a-9136-4e44-b99d-25306b327ebe,04/10/2020 05:00:00,Good Friday,NONE,USD
9f5b4da4-c87d-420d-aea9-162ce916ee2a,05/25/2020 05:00:00,Memorial Day,NONE,USD
a1e13296-7a98-433d-af6c-ddca986db60a,07/04/2020 05:00:00,Independence Day,NONE,USD
927bada9-a601-42b8-9372-c3bfb43f5b9c,09/07/2020 05:00:00,Labor Day,NONE,USD
711e955d-1849-4918-b519-af8661f1e2b0,10/12/2020 05:00:00,Columbus Day,NONE,USD
3381240a-e7b6-489c-b4f5-749674618311,11/11/2020 05:00:00,Veterans Day,NONE,USD
a05cdb5f-8953-4aca-89a2-e7a1d499a4b8,11/26/2020 05:00:00,Thanksgiving Day,NONE,USD
ad55cfde-b19d-4b01-a52d-d8c26ad3d08d,12/25/2020 05:00:00,Christmas Day,NONE,USD
bb6c2625-4d0b-42b1-8b14-94c4c7b507a4,01/01/2021 05:00:00,New Year's Day,NONE,USD
7b77f5a6-e619-42f7-8bc4-a095e5a256da,01/18/2021 05:00:00,Martin L. King's Birthday,NONE,USD
d5134f20-18b5-4fe4-99e6-656812d9bb94,02/15/2021 05:00:00,Presidents' Day,NONE,USD
20935b02-8db2-4c25-bf6d-02b57c265a26,04/02/2021 05:00:00,Good Friday,NONE,USD
1e8d04f7-2e9c-4b7c-ab4d-2efe8e4e52f1,05/31/2021 05:00:00,Memorial Day,NONE,USD
99fcad52-3e98-441a-90a7-b10b56a9ce8d,06/18/2021 04:00:00,Juneteenth,NONE,USD
310729b6-ff0c-4655-a035-99cf8bf8656b,07/04/2021 05:00:00,Independence Day,NONE,USD
cd2b9bc8-b20a-4184-8766-030094d6e624,09/06/2021 05:00:00,Labor Day,NONE,USD
b57f9046-bb15-4e4f-bbce-3c1b48a17aa1,10/11/2021 05:00:00,Columbus Day,NONE,USD
b8bbee12-2aac-4285-b02b-aceea0260c39,11/11/2021 05:00:00,Veterans Day,NONE,USD
b8212585-a06f-457a-8175-3c79b3e31072,11/25/2021 05:00:00,Thanksgiving Day,NONE,USD
44af0c7f-8ee6-488d-949e-4cda24fd6249,12/25/2021 05:00:00,Christmas Day,NONE,USD
